Rank,Country,Population_2026,Yearly_Change,Net_Change,Density_per_km2,Land_Area_km2,Migrants_Net,Fertility_Rate,Median_Age,Urban_Population_pct,World_Share_pct
148,Guinea-Bissau,2297808,2.15,48293.0,82,28120,-1893.0,3.62,19.6,46.6,0.028
149,Slovenia,2114573,-0.12,-2499.0,105,20140,2609.0,1.58,45.0,56.1,0.025
150,Equatorial Guinea,1984468,2.37,46037.0,71,28050,3533.0,3.96,20.9,64.2,0.024
151,Latvia,1835935,-0.95,-17624.0,30,62200,-360.0,1.35,43.8,67.7,0.022
152,North Macedonia,1804063,-0.54,-9728.0,72,25220,-5731.0,1.47,41.4,70.3,0.022
153,Bahrain,1675572,1.96,32240.0,2205,760,14280.0,1.77,33.4,0.0,0.02
154,Trinidad and Tobago,1513268,0.14,2113.0,295,5130,160.0,1.52,38.2,49.1,0.018
155,Timor-Leste,1436923,1.3,18406.0,97,14870,-1695.0,2.5,22.1,36.7,0.017
156,Cyprus,1382334,0.84,11580.0,150,9240,7210.0,1.37,39.1,61.1,0.017
157,Estonia,1331062,-0.98,-13170.0,31,42390,-716.0,1.38,43.2,67.5,0.016
158,Eswatini,1269859,1.09,13685.0,74,17200,-5493.0,2.64,22.7,31.7,0.015
159,Mauritius,1265059,-0.25,-3221.0,623,2030,-2679.0,1.21,38.3,41.8,0.015
160,Djibouti,1199459,1.3,15383.0,52,23180,302.0,2.54,25.2,71.4,0.014
161,Fiji,937282,0.44,4128.0,51,18270,-3385.0,2.23,28.3,61.3,0.011
162,Comoros,899010,1.83,16163.0,483,1861,-2225.0,3.71,20.7,34.0,0.011
163,Réunion,886298,0.44,3893.0,355,2500,-2079.0,2.12,38.4,0.0,0.011
164,Solomon Islands,858288,2.34,19643.0,31,27990,1570.0,3.42,20.9,23.0,0.01
165,Guyana,840890,0.59,4904.0,4,196850,-4787.0,2.35,26.5,26.8,0.01
166,Bhutan,802214,0.69,5532.0,21,38117,633.0,1.43,31.0,51.1,0.0097
167,Macao,723188,0.16,1181.0,24106,30,826.0,0.7,40.3,98.3,0.0087
168,Luxembourg,687448,1.03,6995.0,265,2590,4938.0,1.41,39.7,87.4,0.0083
169,Suriname,645256,0.84,5406.0,4,156000,-965.0,2.19,28.9,62.4,0.0078
170,Montenegro,626233,-1.03,-6496.0,47,13450,-2824.0,1.79,40.4,69.7,0.0075
171,Western Sahara,610813,1.65,9909.0,2,266000,4689.0,2.13,32.8,97.6,0.0074
172,Malta,549011,0.66,3606.0,1716,320,2157.0,1.12,41.5,76.2,0.0066
173,Maldives,531517,0.35,1841.0,1772,300,-2079.0,1.53,33.4,40.3,0.0064
174,Cabo Verde,529630,0.44,2304.0,131,4030,-1338.0,1.49,29.5,79.6,0.0064
175,Brunei,469775,0.74,3445.0,89,5270,8.0,1.7,33.2,80.6,0.0057
176,Belize,428644,1.35,5720.0,19,22810,392.0,1.99,27.3,49.0,0.0052
177,Bahamas,404628,0.4,1595.0,40,10010,902.0,1.36,35.7,88.9,0.0049
178,Iceland,402329,1.02,4063.0,4,100250,2027.0,1.49,36.6,83.7,0.0048
179,Guadeloupe,372453,-0.36,-1338.0,220,1690,-1442.0,2.04,47.4,0.0,0.0045
180,Mayotte,347536,3.12,10525.0,927,375,-2.0,4.43,17.3,41.1,0.0042
181,Vanuatu,342564,2.21,7395.0,28,12190,-113.0,3.5,20.3,25.5,0.0041
182,Martinique,337711,-0.8,-2728.0,319,1060,-2264.0,1.95,50.2,0.0,0.0041
183,French Guiana,318872,1.66,5206.0,4,82200,-765.0,3.25,24.9,95.2,0.0038
184,New Caledonia,297892,0.87,2559.0,16,18280,348.0,1.93,34.8,76.3,0.0036
185,French Polynesia,283076,0.22,611.0,77,3660,-1158.0,1.47,36.7,66.3,0.0034
186,Barbados,282724,0.04,101.0,657,430,-98.0,1.71,39.7,32.7,0.0034
187,Sao Tome & Principe,244994,1.97,4740.0,255,960,-691.0,3.47,19.7,78.9,0.003
188,Samoa,220528,0.56,1222.0,78,2830,-2792.0,3.7,19.8,16.3,0.0027
189,Curaçao,185440,-0.03,-47.0,418,444,462.0,1.07,39.0,81.2,0.0022
190,Saint Lucia,180488,0.19,339.0,296,610,-49.0,1.37,35.1,20.1,0.0022
191,Guam,170185,0.7,1186.0,315,540,-471.0,2.68,31.6,98.9,0.0021
192,Kiribati,138445,1.43,1957.0,171,810,-441.0,3.06,23.0,57.9,0.0017
193,Seychelles,134959,1.64,2180.0,293,460,1367.0,2.06,34.6,43.4,0.0016
194,Grenada,117362,0.05,59.0,345,340,-199.0,1.45,34.9,35.8,0.0014
195,Micronesia,114183,0.44,500.0,163,700,0.0,0.0,0.0,23.8,0.0014
196,Aruba,108164,0.02,17.0,601,180,73.0,1.6,41.7,45.1,0.0013
197,Tonga,103291,-0.43,-451.0,143,720,-2117.0,3.04,21.0,26.4,0.0012
198,St. Vincent & Grenadines,99245,-0.68,-679.0,254,390,-671.0,1.73,34.7,62.6,0.0012
199,Antigua and Barbuda,94626,0.44,417.0,215,440,-2.0,1.57,36.7,28.6,0.0011
200,Isle of Man,84055,-0.07,-63.0,147,570,158.0,1.53,46.3,57.3,0.001
201,Andorra,83753,1.02,849.0,178,470,751.0,1.1,44.2,81.6,0.001
202,U.S. Virgin Islands,83400,-0.88,-738.0,238,350,-360.0,2.05,44.9,0.0,0.001
203,Cayman Islands,77196,1.78,1352.0,322,240,888.0,1.5,39.1,88.5,0.00093
204,Dominica,65511,-0.55,-360.0,87,750,-241.0,1.46,36.6,85.6,0.00079
205,Bermuda,64459,-0.15,-96.0,1289,50,-9.0,1.42,46.4,93.0,0.00078
206,Faeroe Islands,56526,0.94,524.0,40,1396,311.0,2.19,37.1,39.5,0.00068
207,Greenland,55629,-0.21,-116.0,0,410450,-249.0,1.9,35.5,91.2,0.00067
208,Turks and Caicos,47148,0.63,293.0,50,950,151.0,1.43,39.6,80.0,0.00057
209,Saint Kitts & Nevis,46992,0.15,70.0,181,260,11.0,1.5,36.5,39.8,0.00057
210,American Samoa,45319,-1.54,-710.0,227,200,-1004.0,2.22,29.1,0.0,0.00055
211,Sint Maarten,44447,1.19,524.0,1307,34,485.0,1.42,42.0,99.6,0.00054
212,Northern Mariana Islands,42914,-1.44,-627.0,93,460,-790.0,2.24,38.8,0.0,0.00052
213,Gibraltar,40867,1.85,741.0,4087,10,480.0,1.88,38.8,87.1,0.00049
214,Liechtenstein,40368,0.6,240.0,252,160,193.0,1.54,44.7,14.8,0.00049
215,British Virgin Islands,39936,0.51,204.0,266,150,105.0,1.06,39.1,43.9,0.00048
216,Monaco,38087,-0.66,-254.0,25562,1,106.0,2.08,53.1,0.0,0.00046
217,Marshall Islands,35075,-3.33,-1207.0,195,180,-1575.0,2.77,20.5,0.0,0.00042
218,San Marino,33605,0.1,33.0,560,60,127.0,1.17,49.1,0.0,0.0004
219,Caribbean Netherlands,31913,1.83,575.0,97,328,509.0,1.44,39.7,64.9,0.00038
220,Palau,17614,-0.28,-49.0,38,460,-22.0,1.84,38.9,0.0,0.00021
221,Anguilla,14817,0.6,89.0,165,90,33.0,1.34,39.1,0.0,0.00018
222,Cook Islands,12826,-3.29,-437.0,53,240,-419.0,1.98,38.1,0.0,0.00015
223,Nauru,12101,0.63,76.0,605,20,-111.0,3.21,20.2,93.8,0.00015
224,Saint Barthelemy,11550,1.19,136.0,550,21,143.0,0.84,39.1,0.0,0.00014
225,Wallis & Futuna,11113,-0.72,-81.0,79,140,-80.0,1.39,38.6,0.0,0.00013
226,Tuvalu,9362,-1.37,-130.0,312,30,-225.0,3.1,24.1,89.0,0.00011
227,Saint Pierre & Miquelon,5513,-1.09,-61.0,24,230,-9.0,1.28,47.6,0.0,6.6e-05
228,Saint Helena,5147,-0.96,-50.0,13,390,0.0,1.64,51.0,34.1,6.2e-05
229,Montserrat,4328,-0.71,-31.0,43,100,-10.0,1.45,41.8,11.7,5.2e-05
230,Falkland Islands,3465,-0.12,-4.0,0,12170,-16.0,1.69,43.4,68.4,4.2e-05
231,Tokelau,2691,3.18,83.0,269,10,43.0,2.54,27.6,0.0,3.2e-05
232,Niue,1822,0.05,1.0,7,260,2.0,2.44,35.1,45.2,2.2e-05
233,Holy See,506,1.0,5.0,1265,0,13.0,1.0,56.2,0.0,6.1e-06
